,日,平均気圧,海面気圧,降水量,最大１,最大10,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,風向1,最大瞬間風速,風向２,日照時間,雪,値,昼,夜,月,年
3980,25,1026.7,1031.1,--,--,--,9.0,12.7,6.4,38,28,6.1,10.5,北北西,19.9,北北西,9.4,--,--,快晴,晴,11,1991
3981,26,1029.1,1033.5,--,--,--,8.4,12.2,4.7,51,41,2.4,4.8,北北西,7.3,北北西,2.5,--,--,晴一時曇,晴時々曇,11,1991
3982,27,1023.3,1027.7,0.0,0.0,0.0,10.3,13.9,6.8,57,46,2.1,4.5,南,6.3,南,0.5,--,--,曇時々雨,雨時々曇,11,1991
3983,28,1008.8,1013.2,65.0,11.5,3.5,11.3,19.1,8.8,89,59,2.2,7.6,南南西,16.1,南南西,--,--,--,大雨,雨後晴,11,1991
3984,29,1007.3,1011.6,--,--,--,15.7,19.6,13.2,59,36,5.4,9.6,北北西,17.4,北北西,4.7,--,--,晴後曇,曇一時晴,11,1991
3985,30,1014.0,1018.3,--,--,--,13.8,16.4,11.7,63,48,3.3,5.7,東北東,8.5,北北東,3.4,--,--,晴時々曇,晴,11,1991
3986,1,1010.7,1015.0,--,--,--,12.5,15.4,10.0,64,45,3.6,6.0,北北東,10.4,北北東,6.5,--,--,晴,晴,12,1991
3987,2,1012.5,1016.8,--,--,--,12.4,16.6,8.2,62,36,2.3,4.3,北北東,7.4,東,6.5,--,--,晴,晴一時曇,12,1991
3988,3,1014.1,1018.5,--,--,--,12.0,15.8,9.2,64,52,2.4,3.8,南,6.5,北北西,3.8,--,--,晴一時曇,晴,12,1991
3989,4,1017.2,1021.6,--,--,--,12.0,15.7,8.5,64,46,2.5,5.2,東南東,7.4,東南東,7.5,--,--,快晴,晴後曇,12,1991
3990,5,1023.0,1027.3,0.0,0.0,0.0,12.5,14.4,10.5,64,55,2.8,4.6,北,8.2,北北西,0.6,--,--,曇一時雨,曇一時雨後晴,12,1991
3991,6,1020.6,1024.9,--,--,--,12.6,16.1,8.5,65,50,2.0,3.9,北北西,6.3,北北西,5.6,--,--,晴時々曇,曇後晴,12,1991
3992,7,1017.0,1021.3,--,--,--,13.5,18.4,9.4,60,30,1.6,3.9,北北東,6.5,北東,8.1,--,--,晴,晴一時曇,12,1991
3993,8,1012.8,1017.1,0.0,0.0,0.0,10.7,12.1,8.7,76,71,2.9,4.9,北,8.2,北,0.7,--,--,晴後曇一時雨,曇一時雨,12,1991
3994,9,1015.7,1020.1,0.0,0.0,0.0,9.4,11.7,7.1,55,36,3.1,6.3,北北西,10.1,北西,3.6,--,--,曇時々晴一時雨,晴,12,1991
3995,10,1022.3,1026.7,--,--,--,8.6,10.9,5.6,47,40,2.9,5.9,北,8.2,北北西,4.9,--,--,晴後曇,晴,12,1991
3996,11,1007.4,1011.6,--,--,--,12.8,18.3,5.5,60,48,4.8,11.3,南西,23.0,南西,5.7,--,--,晴,晴一時曇,12,1991
3997,12,1010.7,1015.1,0.0,0.0,0.0,7.8,11.6,4.7,39,31,5.1,8.0,北北西,14.3,北北西,0.5,--,--,曇時々雨,晴,12,1991
3998,13,1020.8,1025.2,--,--,--,7.4,11.4,2.5,46,28,2.3,4.4,北北西,7.1,北北西,8.0,--,--,快晴,曇時々晴,12,1991
3999,14,1024.3,1028.7,--,--,--,9.1,13.0,5.4,48,35,2.2,4.5,北北西,6.7,北北西,8.0,--,--,快晴,晴,12,1991
4000,15,1025.5,1030.0,--,--,--,9.2,12.9,4.9,54,40,2.4,4.6,北北西,7.1,北北西,4.3,--,--,晴一時曇,晴,12,1991
4001,16,1026.5,1031.0,--,--,--,10.1,14.1,6.0,59,49,2.4,4.7,北北西,7.2,北北西,7.6,--,--,快晴,晴,12,1991
4002,17,1018.0,1022.4,0.0,0.0,0.0,10.6,15.0,6.1,57,44,1.9,3.8,北,6.1,南,6.2,--,--,晴一時曇,曇時々晴一時雨,12,1991
4003,18,1004.6,1008.9,2.5,2.0,0.5,12.8,18.8,9.4,51,42,3.5,7.3,北,13.5,北,4.8,--,--,曇時々晴一時雨,曇時々雨,12,1991
4004,19,1012.6,1017.0,0.0,0.0,0.0,9.5,11.9,7.1,41,32,4.8,8.1,北北西,16.9,北北西,2.4,--,--,曇一時晴,曇後晴,12,1991
4005,20,1022.2,1026.7,--,--,--,7.0,8.8,4.4,44,36,4.1,10.6,北,16.6,北,8.0,--,--,快晴,晴後曇,12,1991
4006,21,1021.6,1026.1,--,--,--,7.1,10.5,3.3,53,40,2.9,5.9,北北西,8.1,北北西,4.9,--,--,曇後晴,晴,12,1991
4007,22,1023.2,1027.7,--,--,--,8.7,12.6,4.5,61,47,3.3,5.9,東,9.8,東北東,5.4,--,--,晴時々曇,晴,12,1991
4008,23,1021.9,1026.3,0.0,0.5,0.0,10.0,13.5,5.1,69,51,2.0,4.0,南,6.2,南,5.7,--,--,晴後曇,曇時々雨,12,1991
4009,24,1013.2,1017.6,0.5,0.5,0.5,12.5,17.4,8.0,70,45,1.9,3.8,南,6.1,南,4.0,--,--,晴時々曇,晴後曇一時雨,12,1991
4010,25,1013.2,1017.6,4.0,1.5,0.5,8.4,11.5,4.0,80,61,4.2,6.9,東北東,10.6,東北東,--,--,--,曇後雨,雨一時みぞれ,12,1991
4011,26,1012.1,1016.5,12.5,1.5,0.5,3.5,5.3,2.0,85,69,3.1,6.6,北東,9.4,北北東,--,0,--,みぞれ後曇,晴後曇,12,1991
4012,27,1011.0,1015.5,15.5,3.5,1.0,2.8,4.9,1.2,85,72,3.1,5.9,北北西,9.9,北北西,--,1,1,曇後雪時々雨,雨一時みぞれ後曇,12,1991
4013,28,991.2,995.6,1.0,1.0,0.5,4.9,9.7,2.0,79,47,2.7,6.1,西南西,13.8,南西,0.6,--,0,曇時々雨後晴,快晴,12,1991
4014,29,997.2,1001.5,--,--,--,4.7,7.9,2.2,44,27,4.2,7.9,北北西,16.0,北北西,5.8,--,--,晴,快晴,12,1991
4015,30,1011.8,1016.3,--,--,--,4.4,8.6,0.9,36,23,4.2,8.4,北西,16.3,北北西,8.7,--,--,快晴,快晴,12,1991
4016,31,1018.8,1023.2,--,--,--,6.2,9.4,2.1,42,32,3.0,6.1,北北西,10.5,北北西,5.5,--,--,晴一時曇,晴時々曇,12,1991
4017,1,1014.9,1019.3,--,--,--,6.8,10.8,3.2,54,42,2.0,3.4,北北西,5.7,北,7.9,--,--,晴,晴,1,1992
4018,2,1015.0,1019.4,--,--,--,7.7,11.9,3.5,60,36,2.1,3.7,北北西,5.6,北,7.3,--,--,晴,晴一時曇,1,1992
4019,3,1013.8,1018.3,--,--,--,7.6,12.6,3.2,61,39,2.4,4.5,北北西,9.8,東,8.3,--,--,快晴,晴,1,1992
4020,4,1014.5,1018.9,--,--,--,7.7,11.6,3.9,47,29,4.4,8.0,北北西,15.1,北北西,8.3,--,--,晴,快晴,1,1992
4021,5,1019.0,1023.5,--,--,--,8.0,12.0,3.3,46,27,2.9,5.9,北北西,10.5,北北西,7.0,--,--,晴,晴後曇,1,1992
4022,6,1020.4,1024.8,10.5,3.0,1.0,6.5,9.3,3.4,71,48,3.4,6.5,北,11.1,北,0.1,--,--,曇後雨,雨一時曇,1,1992
4023,7,1014.9,1019.4,0.0,0.0,0.0,5.6,7.3,3.3,84,78,2.7,5.7,北北西,9.3,北北西,--,--,--,曇時々雨,曇後晴,1,1992
4024,8,1016.6,1021.0,--,--,--,9.8,14.5,4.3,53,30,3.7,7.0,北,12.3,北,8.7,--,--,晴,曇後雨,1,1992
4025,9,1011.4,1015.8,15.5,3.0,1.0,6.2,9.0,5.2,82,47,3.2,6.3,北,9.8,北,--,--,--,雨,曇一時雨後晴,1,1992
4026,10,1012.8,1017.2,0.0,0.0,0.0,6.3,11.2,3.8,58,31,4.8,10.4,北北西,19.9,北北西,8.5,--,--,快晴,快晴,1,1992
4027,11,1022.1,1026.6,--,--,--,6.8,9.9,3.3,46,35,2.7,6.3,北北西,11.5,北北西,8.6,--,--,快晴,晴一時曇,1,1992
4028,12,1017.2,1021.6,0.0,0.0,0.0,5.8,9.0,3.0,66,57,2.1,3.7,北北西,6.7,北北西,2.0,--,--,曇一時雨後晴,晴,1,1992
4029,13,1008.7,1013.0,--,--,--,8.9,13.6,2.5,62,35,1.8,3.8,南,6.6,南,8.2,--,--,快晴,晴一時雨,1,1992
4030,14,1005.8,1010.1,0.0,0.0,0.0,7.2,10.7,3.1,47,31,6.2,10.8,北北西,20.7,北北西,4.8,--,--,晴一時曇,晴,1,1992
4031,15,1017.6,1022.1,--,--,--,3.9,6.5,1.0,42,30,4.2,8.8,北北西,15.9,北北西,9.1,--,--,快晴,快晴,1,1992
4032,16,1017.1,1021.6,3.0,2.0,1.0,4.3,7.7,0.3,62,44,3.0,4.9,北北西,7.4,北,5.4,--,--,晴後雨,雨後晴,1,1992
4033,17,1004.9,1009.2,0.0,0.0,0.0,7.5,13.8,3.4,62,38,2.6,6.6,南,11.6,南西,6.4,--,--,晴,晴,1,1992
4034,18,1003.3,1007.7,--,--,--,7.0,10.1,4.1,47,29,3.1,7.4,北北西,13.2,北北西,6.7,--,--,晴,快晴,1,1992
4035,19,1013.5,1017.9,--,--,--,5.3,8.9,2.1,38,21,4.4,8.2,北北西,14.5,北北西,9.4,--,--,快晴,晴,1,1992
4036,20,1021.3,1025.8,--,--,--,5.7,9.8,2.2,36,23,3.8,5.6,北北西,9.2,北北西,9.2,--,--,晴,晴,1,1992
4037,21,1020.1,1024.5,--,--,--,5.4,8.6,1.8,47,39,2.7,4.6,北北西,7.1,北北西,3.0,--,--,晴時々曇,曇一時雨,1,1992
4038,22,1006.7,1011.1,0.0,0.0,0.0,7.3,11.7,3.1,45,32,2.3,5.2,北北西,9.4,北北西,6.1,--,--,曇後晴,晴,1,1992
4039,23,1004.4,1008.8,0.0,0.0,0.0,6.3,9.2,3.2,53,37,3.1,9.3,北北西,16.7,北北西,4.8,--,--,晴一時雨,晴一時雨,1,1992
4040,24,1011.8,1016.2,--,--,--,6.0,9.1,2.0,39,25,3.6,8.0,北北西,13.2,北北西,9.1,--,--,晴,快晴,1,1992
4041,25,1014.6,1019.0,--,--,--,5.1,9.5,0.8,55,40,2.0,4.1,北北西,6.7,北北西,7.8,--,--,晴,晴,1,1992
4042,26,1014.0,1018.4,0.5,0.5,0.5,7.0,10.6,2.1,58,39,2.5,4.5,北,7.6,北,1.4,--,--,曇一時晴,曇一時雨,1,1992
4043,27,1008.9,1013.3,0.0,0.0,0.0,8.6,12.3,6.2,63,44,2.6,5.0,南,7.6,南,7.9,--,--,晴,快晴,1,1992
4044,28,1013.7,1018.1,--,--,--,9.2,12.4,6.0,50,33,3.3,5.5,北北西,10.0,北北西,8.8,--,--,晴,晴,1,1992
4045,29,1009.8,1014.2,--,--,--,9.9,15.1,3.6,55,31,2.5,5.4,北北西,10.1,北,8.4,--,--,晴,晴後曇一時雨,1,1992
4046,30,1010.0,1014.4,0.0,0.0,0.0,7.5,9.5,6.8,73,67,3.5,6.0,北北東,8.8,北北東,--,--,--,曇時々雨,雨時々曇,1,1992
4047,31,1006.4,1010.8,20.5,4.0,1.0,3.7,7.2,0.7,79,56,4.8,9.3,北北西,16.3,北北西,--,1,1,雨後みぞれ,大雪、雷を伴う,1,1992
4048,1,999.3,1003.7,31.0,8.0,2.0,2.2,5.6,-0.5,75,46,6.2,12.8,北,26.4,北北西,0.4,13,17,雪後曇一時晴,快晴,2,1992
4049,2,1018.3,1022.8,--,--,--,4.0,8.2,0.0,46,29,3.0,5.0,北北西,9.2,北西,9.5,--,10,快晴,晴後曇,2,1992
4050,3,1012.3,1016.7,0.0,0.0,0.0,5.5,11.9,1.5,62,50,2.3,7.9,南西,15.4,南西,0.9,--,7,曇一時晴,曇後雨,2,1992
4051,4,1000.2,1004.5,1.0,0.5,0.5,7.7,13.3,4.0,60,34,4.8,9.0,北,19.3,北,--,--,0,曇時々雨,曇,2,1992
4052,5,1011.6,1016.0,--,--,--,6.5,9.5,4.3,44,31,3.4,5.5,北北西,10.1,北,2.4,--,--,曇一時晴,曇時々晴,2,1992
4053,6,1015.9,1020.3,--,--,--,6.2,9.6,2.9,52,38,2.9,4.9,北,7.4,北,5.3,--,--,晴後曇,曇時々晴,2,1992
4054,7,1009.8,1014.2,--,--,--,8.0,13.1,3.2,50,30,2.8,6.1,北,10.1,北北西,7.6,--,--,晴,晴後曇,2,1992
4055,8,1009.5,1013.9,2.5,2.5,1.0,5.1,8.0,1.9,58,44,3.2,7.7,北,11.8,北,1.9,0,--,曇一時晴,晴一時みぞれ,2,1992
4056,9,1013.3,1017.7,--,--,--,5.6,9.1,1.7,38,25,3.1,6.3,北北西,11.3,北北西,9.0,--,--,晴,晴,2,1992
4057,10,1010.4,1014.9,--,--,--,5.8,10.0,1.4,47,37,2.9,5.0,南,7.8,南,8.6,--,--,晴,快晴,2,1992
4058,11,1012.8,1017.2,--,--,--,6.8,9.7,4.2,34,23,5.1,10.3,北北西,17.4,北北西,8.6,--,--,晴,曇,2,1992
4059,12,1010.6,1015.0,0.0,0.0,0.0,7.4,12.6,2.5,52,38,2.6,5.0,南,8.8,南,5.0,--,--,曇時々晴一時雨,晴一時曇,2,1992
4060,13,1005.4,1009.8,--,--,--,9.7,13.2,6.6,52,31,2.9,5.3,南,8.5,南,7.7,--,--,晴一時曇,晴,2,1992
4061,14,1007.9,1012.2,0.0,0.0,0.0,8.3,12.2,5.5,57,30,2.8,5.6,北北西,10.5,北西,5.7,--,--,晴一時雨,晴,2,1992
4062,15,1009.8,1014.2,0.0,0.0,0.0,7.9,10.9,3.3,51,36,2.4,5.6,南西,12.0,南西,5.1,--,--,晴後曇,曇時々雨,2,1992
4063,16,998.9,1003.2,0.0,0.0,0.0,9.0,14.9,4.0,53,31,4.4,12.7,北北西,21.6,北北西,6.6,--,--,晴一時曇,快晴,2,1992
4064,17,1011.7,1016.1,0.0,0.0,0.0,7.1,10.6,3.0,34,21,4.5,8.7,北北西,15.6,北北西,9.6,--,--,晴,晴後曇一時雨,2,1992
4065,18,1009.1,1013.5,0.0,0.0,0.0,7.1,10.2,4.1,59,44,2.8,4.4,南,7.7,北北西,4.3,--,--,曇一時雨後晴,晴一時曇,2,1992
4066,19,1007.5,1011.9,--,--,--,7.1,10.0,4.7,40,24,4.6,8.4,北北西,15.1,北北西,7.9,--,--,晴,晴後曇,2,1992
4067,20,1010.0,1014.5,1.5,1.5,0.5,5.0,7.9,2.8,50,30,3.5,6.3,北東,11.1,東,0.7,--,--,曇,雨時々曇後雪,2,1992
4068,21,1008.9,1013.4,0.0,0.0,0.0,4.2,8.0,1.1,53,25,3.4,6.1,北北西,10.6,北北西,3.8,0,--,曇時々晴一時雪,晴,2,1992
4069,22,1012.0,1016.4,--,--,--,4.8,8.3,0.8,35,20,3.2,7.2,北北西,13.3,北北西,7.3,--,--,晴,快晴,2,1992
4070,23,1012.8,1017.2,--,--,--,6.2,10.2,0.0,39,22,2.2,4.2,南,7.0,北北西,9.4,--,--,晴,薄曇,2,1992
4071,24,1001.1,1005.5,--,--,--,5.2,7.4,2.6,43,39,3.8,8.3,北北西,14.8,北西,--,--,--,曇,晴,2,1992
4072,25,1004.5,1008.9,--,--,--,5.5,9.3,3.0,37,24,6.3,9.5,北北西,16.9,北北西,8.9,--,--,晴,晴,2,1992
4073,26,1013.2,1017.6,--,--,--,6.3,10.8,0.8,37,21,3.3,6.6,西北西,13.4,西北西,9.9,--,--,晴,快晴,2,1992
4074,27,1012.7,1017.1,--,--,--,8.3,13.4,2.6,46,35,2.8,4.8,南,9.6,北北西,9.7,--,--,快晴,晴,2,1992
4075,28,1017.9,1022.2,--,--,--,12.1,15.1,8.3,56,38,3.3,5.8,南,9.6,南,9.3,--,--,快晴,晴後曇,2,1992
4076,29,1011.6,1015.9,--,--,--,14.9,20.1,9.6,64,47,2.8,6.2,南西,13.3,南西,1.3,--,--,曇,曇後晴,2,1992
4077,1,1004.9,1009.1,--,--,--,15.9,18.6,12.4,71,50,3.3,6.5,南西,13.5,南西,--,--,--,曇,曇,3,1992
4078,2,1012.0,1016.4,0.0,0.0,0.0,9.8,12.5,6.8,45,24,5.3,8.8,北北西,16.3,北北西,0.1,--,--,曇,曇後雨,3,1992
4079,3,1015.2,1019.6,1.5,0.5,0.5,5.5,7.2,3.3,70,34,3.3,7.5,北北西,12.9,北北西,--,--,--,雨後曇,曇後晴,3,1992
4080,4,1020.0,1024.4,0.0,0.0,0.0,7.4,11.1,3.2,45,32,3.8,7.9,北北西,13.4,北北西,9.8,--,--,快晴,晴後雨,3,1992
4081,5,1010.7,1015.1,37.0,4.0,1.0,5.1,8.0,4.2,91,70,5.6,9.4,北,16.2,北北西,--,--,--,雨,雨一時曇,3,1992
4082,6,998.8,1003.1,0.0,0.0,0.0,7.8,11.7,4.6,67,33,3.9,7.2,北,14.5,北北西,0.9,--,--,曇一時晴,曇,3,1992
4083,7,1015.2,1019.6,--,--,--,7.9,11.2,5.2,33,20,4.9,10.3,北北西,17.9,北北西,10.0,--,--,晴一時曇,曇時々晴,3,1992
4084,8,1020.2,1024.7,--,--,--,8.2,12.1,3.4,45,36,2.3,4.6,北,7.1,南,7.8,--,--,晴,晴,3,1992
4085,9,1017.2,1021.6,2.5,1.5,1.0,10.5,14.2,5.5,64,39,2.7,4.9,南南西,10.0,南南西,6.4,--,--,晴後曇一時雨,雨,3,1992
4086,10,1009.5,1013.9,19.5,4.5,1.5,10.7,13.7,7.7,77,57,3.9,7.2,北北西,12.0,北,3.1,--,--,雨後晴一時曇,曇時々雨,3,1992
4087,11,1015.4,1019.7,0.0,0.0,0.0,12.3,15.1,10.2,57,38,2.5,5.0,南,7.9,東北東,3.8,--,--,曇時々晴一時雨,曇一時晴,3,1992
4088,12,1019.8,1024.2,0.0,0.0,0.0,10.2,11.9,8.5,58,51,3.0,5.2,北北東,8.5,北北西,--,--,--,曇一時雨,曇一時雨後晴,3,1992
4089,13,1017.1,1021.5,--,--,--,12.7,16.8,7.6,57,31,3.2,6.4,南,12.8,南,9.2,--,--,晴,晴,3,1992
4090,14,1016.7,1021.0,--,--,--,13.9,18.2,10.1,58,45,3.2,5.7,南,9.8,南,8.6,--,--,晴,曇,3,1992
4091,15,1007.0,1011.2,2.0,1.0,0.5,16.2,20.5,11.5,75,60,3.7,7.6,南西,16.9,南西,1.6,--,--,曇一時雨,雨時々曇,3,1992
4092,16,1007.4,1011.7,9.5,6.0,2.0,12.0,16.4,6.9,76,42,3.5 ),6.6,北,12.3,北北西,0.2,--,--,曇後雨,雨,3,1992
4093,17,1021.0,1025.5,6.5,1.0,0.5,4.1,7.0,2.0,79,64,4.2,7.3,北東,12.2,北東,--,0,--,みぞれ時々曇,雨一時雪,3,1992
4094,18,1014.5,1018.9,29.5,7.0,2.0,3.8,7.4,1.7,88,74,5.3,9.1,北北西,15.5,北北西,--,0,0,雨一時雪,曇後晴,3,1992
4095,19,1017.8,1022.2,0.0,0.0,0.0,9.1,11.3,5.9,66,48,2.0,3.7,東,6.8,南東,1.9,--,--,曇一時晴,曇一時雨,3,1992
4096,20,1019.6,1023.9,0.0,0.0,0.0,11.4,15.5,7.6,65,45,3.2,6.7,東南東,9.5,東南東,4.9,--,--,曇時々晴,曇後雨,3,1992
4097,21,1010.3,1014.7,30.5,4.0,1.5,4.6,10.5,1.8,87,73,4.8,8.5,北北東,16.1,北,--,0,--,雨後みぞれ、雷を伴う,晴一時雨,3,1992
4098,22,1021.6,1026.0,--,--,--,7.0,11.1,3.3,40,27,5.8,10.5,北北西,16.0,北北西,11.0,--,--,晴,晴後曇,3,1992
4099,23,1023.4,1027.9,15.0,3.5,1.0,3.9,6.0,1.7,67,43,4.1,8.0,北北西,12.7,北北西,--,0,--,曇後雨、みぞれを伴う,雨一時みぞれ後曇,3,1992
4100,24,1011.6,1016.0,2.5,1.5,0.5,8.8,14.4,2.6,75,57,3.6,6.6,北,10.0,北北西,4.5,--,--,曇一時晴,雨時々曇,3,1992
4101,25,1011.1,1015.4,4.0,2.0,0.5,10.6,13.7,6.6,77,63,1.9,4.1,北,7.2,北,--,--,--,曇,曇一時雨,3,1992
4102,26,1013.2,1017.5,2.0,1.5,0.5,11.4,12.5,10.3,81,73,2.0,3.7,東北東,6.0,東北東,--,--,--,雨一時曇,曇一時雨,3,1992
4103,27,1018.0,1022.4,--,--,--,10.2,11.0,9.4,59,49,3.1,5.0,東北東,9.0,東,--,--,--,曇,曇後晴,3,1992
4104,28,1020.3,1024.7,0.0,0.0,0.0,10.9,13.6,7.2,57,43,2.5,4.0,北北西,6.3,北北西,0.5,--,--,曇一時晴,雨一時曇,3,1992
4105,29,1014.5,1018.9,17.5,3.5,1.0,10.3,12.0,8.8,90,64,3.4,5.8,北北西,11.7,北北西,--,--,--,雨,雨,3,1992
4106,30,1002.6,1006.8,25.5,8.5,7.0,14.3,21.7,10.2,69,38,4.7,8.3,北北西,16.2,北西,3.8,--,--,曇時々雨、雷を伴う,晴、雷を伴う,3,1992
4107,31,1013.9,1018.2,--,--,--,14.2,19.0,10.7,47,26,3.9,7.4,南,12.9,南,10.7,--,--,快晴,晴後曇,3,1992
4108,1,1010.4,1014.7,14.0,2.5,1.0,12.6,14.8,10.8,87,72,2.2,4.9,南,10.1,南,--,--,--,雨一時曇,雨一時曇,4,1992
4109,2,1002.6,1006.8,4.0,2.0,1.5,17.3,22.8,11.8,68,29,3.6,8.1,北西,15.9,北北西,6.7,--,--,晴後曇,曇時々雨後晴,4,1992
4110,3,1013.5,1017.7,--,0.0,0.0,15.9,20.2,13.3,48,29,2.8,5.2,南東,9.2,南東,10.2,--,--,晴一時曇,曇一時晴,4,1992
4111,4,1014.2,1018.5,0.5,1.0,0.5,15.2,18.9,11.4,59,41,2.7,4.7,東南東,8.9,南東,5.9,--,--,晴後曇,曇後雨,4,1992
4112,5,1003.5,1007.8,32.5,7.0,2.0,12.4,14.2,10.4,86,67,5.5,8.6,北北西,15.5,北北西,--,--,--,雨,晴一時雨,4,1992
4113,6,1010.6,1014.9,--,--,--,15.7,20.4,11.4,56,30,3.8,5.8,北北西,11.2,南南東,10.2,--,--,晴,晴後曇,4,1992
4114,7,1019.1,1023.4,--,--,--,12.2,14.8,8.2,74,67,4.5,9.2,東北東,15.4,東北東,--,--,--,曇,曇,4,1992
4115,8,1022.7,1027.0,--,--,--,12.0,15.4,7.9,64,49,2.8,4.7,北北東,10.0,南西,1.9,--,--,曇,曇時々晴,4,1992
4116,9,1010.5,1014.8,--,--,--,18.0,24.1,11.3,59,36,2.1,5.6,西南西,10.6,南西,7.2,--,--,曇時々晴,曇時々晴一時雨,4,1992
4117,10,1006.5,1010.8,33.0,3.5,1.0,11.6,17.0,8.5,78,48,4.5,7.5,北北西,14.3,北北西,--,--,--,雨,雨,4,1992
4118,11,997.0,1001.3,1.5,0.5,0.5,9.8,11.9,8.0,84,72,3.5,7.9,北北西,13.8,北,0.1,--,--,曇一時雨,雨後曇,4,1992
4119,12,997.2,1001.4,1.5,0.5,0.5,11.1,16.2,6.0,78,62,3.4,9.9,北北西,18.4,北北西,2.9,--,--,曇時々雨一時晴,曇時々雨後晴,4,1992
4120,13,1001.3,1005.6,0.0,0.0,0.0,11.4,16.5,5.1,49,25,3.7,8.2,北北西,13.5,北北西,9.1,--,--,晴,曇一時雨,4,1992
4121,14,1009.2,1013.5,1.0,1.0,0.5,11.7,15.4,9.1,63,33,3.1,6.3,南,10.6,南,3.7,--,--,晴後曇一時雨、雷を伴う,雨後曇,4,1992
4122,15,1013.6,1017.9,1.5,1.5,1.0,12.2,15.7,8.4,66,48,2.9,4.9,東南東,8.9,南東,2.3,--,--,曇時々晴,曇後時々雨、雷を伴う,4,1992
4123,16,1004.2,1008.5,6.0,3.5,1.5,14.1,16.5,11.9,69,52,4.7,8.2,南,18.5,南,1.2,--,--,曇一時雨,晴一時曇,4,1992
4124,17,1006.6,1010.9,--,--,--,14.5,18.7,10.2,45,19,4.1,7.8,北北西,14.5,北北西,11.1,--,--,晴,晴,4,1992
4125,18,1007.7,1012.0,--,--,--,16.2,21.0,10.4,59,35,4.7,8.4,南南西,18.6,南西,6.6,--,--,晴後曇,晴時々曇,4,1992
4126,19,1004.1,1008.4,7.0,3.0,1.0,15.4,20.3,11.9,75,52,4.5,8.9,北北西,17.7,南西,0.2,--,--,雨時々曇,雨後曇一時晴,4,1992
4127,20,1005.8,1010.1,--,--,--,15.6,20.4,11.3,54,24,3.7,8.3,北,14.4,北,10.7,--,--,快晴,晴,4,1992
4128,21,1010.4,1014.7,--,--,--,16.3,20.4,10.3,40,22,4.0,8.3,南西,16.1,南西,10.5,--,--,晴,晴一時曇,4,1992
4129,22,996.4,1000.6,28.0,12.5,4.5,17.4,19.9,15.2,71,43,5.6,9.9,北西,22.6,西北西,--,--,--,曇後雨,快晴,4,1992
4130,23,1006.8,1011.0,--,--,--,18.4,23.3,13.5,36,16,4.0,8.2,北北西,13.5,北西,11.8,--,--,晴,晴後曇,4,1992
4131,24,1009.8,1014.1,--,--,--,18.7,22.5,15.0,60,41,5.6,10.2,南西,22.3,南西,6.9,--,--,晴時々曇,晴一時曇,4,1992
4132,25,1007.6,1011.8,--,--,--,18.7,23.1,14.9,26,15,4.4,8.2,北北西,15.9,北北西,9.6,--,--,晴,晴,4,1992
4133,26,1010.1,1014.4,--,--,--,16.3,20.1,12.1,48,24,3.7,6.5,南,11.6,南,9.5,--,--,晴,晴,4,1992
4134,27,1004.8,1009.0,--,--,--,18.8,23.6,13.0,57,42,3.3,6.6,南,11.3,南,11.8,--,--,晴,晴,4,1992
4135,28,1001.7,1005.9,--,--,--,19.3,23.6,14.3,63,48,3.3,7.5,南,13.2,南,11.3,--,--,快晴,晴,4,1992
4136,29,1002.4,1006.5,--,--,--,20.7,23.9,16.6,38,13,4.7,10.9,北,20.1,北北西,11.1,--,--,晴,晴後曇一時雨,4,1992
4137,30,993.3,997.6,37.0,11.0,3.0,13.1,18.6,10.0,81,44,4.9,9.5,北,17.3,北,--,--,--,大雨,雨後晴,4,1992
4138,1,1000.3,1004.6,--,--,--,14.5,18.7,9.4,45,26,4.2,9.8,北北西,16.1,北北西,8.6,--,--,晴,晴,5,1992
4139,2,1004.1,1008.3,--,--,--,16.2,20.5,12.1,45,30,3.2,6.3,南,12.2,南,9.9,--,--,晴,晴,5,1992
4140,3,1004.0,1008.3,0.0,0.0,0.0,17.7,22.9,13.7,48,22,4.6,7.5,南,13.5,南,8.9,--,--,晴一時曇,曇一時雨後晴,5,1992
4141,4,1007.3,1011.5,--,--,--,17.9,21.7,13.8,28,18,7.9,12.6,北北西,22.5,北北西,12.2,--,--,快晴,曇時々晴,5,1992
4142,5,1013.5,1017.8,--,--,--,15.8,20.9,11.6,28,19,5.8,11.1,北北西,20.5,北北西,10.5,--,--,晴時々曇,薄曇,5,1992
4143,6,1018.2,1022.5,--,--,--,13.2,17.4,10.5,47,30,4.3,6.6,北北西,12.1,北,11.8,--,--,晴,曇,5,1992
4144,7,1013.8,1018.1,0.0,0.0,0.0,13.6,16.5,10.6,71,58,3.3,6.2,南西,13.3,南西,--,--,--,曇後一時雨,雨後曇,5,1992
4145,8,1002.2,1006.4,--,0.0,--,21.6,26.3,14.3,66,47,6.7,11.9,南西,24.6,南西,7.0,--,--,晴後曇,曇時々雨,5,1992
4146,9,1003.6,1007.7,13.0,5.5,1.5,20.9,21.5,20.1,86,78,5.0,7.3,南南西,16.5,南南西,--,--,--,雨一時曇,雨時々曇,5,1992
4147,10,1013.4,1017.7,24.5,7.5,2.0,13.2,20.6,10.4,77,63,4.9,8.2,東北東,17.3,北東,0.1,--,--,雨時々曇,晴一時曇,5,1992
